Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter,raw_data
1679947540.28684,6,72340,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:40,19,T,
1679947541.021978,7,72340,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:40,19,T,
1679947541.2867875,8,72341,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:41,19,T,
1679947541.5685723,9,72341,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:41,19,T,
1679947542.2880843,10,72342,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:42,19,T,
1679947542.5694792,11,72342,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:42,19,T,
1679947543.286484,12,72343,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:43,19,T,
1679947543.5638363,13,72343,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:43,19,T,
1679947544.2863562,14,72344,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:44,19,T,
1679947544.567898,15,72344,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:44,19,T,
1679947545.2864254,16,72345,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:45,19,T,
1679947546.0266192,17,72345,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:45,19,T,
1679947546.2856638,18,72346,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:46,19,T,
1679947546.5684128,19,72346,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:46,19,T,
1679947547.2864943,20,72347,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:47,19,T,
1679947547.5684476,21,72347,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:47,19,T,
1679947548.286003,22,72348,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:48,19,T,
1679947548.5681562,23,72348,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:48,19,T,
1679947549.2869027,24,72349,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:49,19,T,
1679947549.5693355,25,72349,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:49,19,T,
1679947550.286299,26,72350,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:50,19,T,
1679947551.0264409,27,72350,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:50,19,T,
1679947551.2861543,28,72351,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:51,19,T,
1679947551.5684426,29,72351,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:51,19,T,
1679947552.2863038,30,72352,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:52,19,T,
1679947552.5684445,31,72352,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:52,19,T,
1679947553.286749,32,72353,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:53,19,T,
1679947553.5689185,33,72353,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:53,19,T,
1679947554.2870846,34,72354,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:54,19,T,
1679947554.5694132,35,72354,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:54,19,T,
1679947555.286074,36,72355,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:55,19,T,
1679947556.026282,37,72355,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:55,19,T,
1679947556.2864404,38,72356,0,GPS1_Frame,42.33729,-71.08958666666666,27.799999237060547,1.600000023841858,327858.67819701706,4689340.8501958875,20:5:56,19,T,
1679947556.5686677,39,72356,0,GPS1_Frame,42.33729,-71.08958666666666,0.0,0.0,327858.67819701706,4689340.8501958875,20:5:56,19,T,
